,id,matches
160,38735,"63042,63043,63044,63045,63046,63047,63048,63049,63050,63071,63072,63079,63080,63081,63082,63083,63097,63098,63099,63108,63109,63110,63114,63115,63116,63122,63123,63124,63144,63145,63156,63157,63158"
161,37255,"63042,63043,63044,63045,63046,63047,63048,63049,63050,63071,63072,63079,63080,63081,63082,63083,63097,63098,63099,63109,63110,63122,63123,63124,63144,63145,63156,63157,63182,63183"
162,37222,"63042,63043,63045,63046,63047,63048,63049,63050,63098,63099,63108,63109,63110,63114,63115,63116,63122,63123,63124,63144,63145,63156,63157,63158,63182,63203"
163,38622,"63036,63037,63038,63042,63044,63045,63046,63047,63050,63071,63072,63079,63080,63081,63082,63083,63097,63098,63099,63108,63109,63110,63114,63116,63122,63123,63124,63144,63145,63156,63157,63158,63168,63169,63171,63172,63173,63182,63183,63340,63341"
164,37718,"63036,63037,63038"
165,37243,"63036,63037,63038,63042,63043,63044,63045,63047,63048,63049,63050,63079,63080,63081,63082,63083,63097,63098,63099,63108,63109,63110,63114,63115,63116,63122,63123,63124,63144,63145,63156"
166,38611,"63020,63021"
167,37734,"63019,63020,63021,63022,63043,63044,63045,63046,63047,63048,63049,63050,63071"
168,37230,"63019,63020,63021"
169,36314,"63019,63020,63021,63022,63036,63038,63042,63043,63045,63046,63047,63048,63049,63050,63072,63079,63080,63081,63082,63083,63097,63098,63099,63108,63109,63110,63124,63156,63157,63158,63168,63169,63170,63171,63172,63173,63182,63183,63203,63204,63205,63214,63215,63216,63232,63233,63234,63276,63277,63278"
170,38134,"62988,62989,62990"
171,36296,"62988,62989"
172,38711,"62966,63080,63081,63082,63083"
173,38609,"62966,62967,62968,62974,62975,62976,62978,62979,62990,63019,63021,63022,63036,63037,63038,63042,63044,63045,63047,63049,63080,63081,63082,63083,63097,63098,63099,63108,63109,63110"
174,38129,"62965,62966,62967,62968,62974,62975,62976,62977,62978,62979,62988,62989,62990,63019,63020,63021,63022,63036,63037,63038,63042,63043,63044,63046,63048,63049,63050,63071,63098,63108,63109,63110"
175,37488,"62965,62968,62974,62975,62976,62990,63079,63081,63082,63083,63097,63098,63099"
176,38618,62964
177,37727,"62963,62964,62965,62966,62967,62968,62974,62975,62976,62977,62978,62979,62989,62990,63037,63071,63072,63081,63082,63083"
178,36611,"62962,62963,62964,62966,62967,62968,62976,62977,62978,62979,62988,62989,62990,63019,63020,63021,63022,63036,63037,63038,63042,63043,63044,63045,63046,63047,63048,63049,63050,63071,63072,63079,63080,63081,63082,63083,63097,63098,63099,63108,63109,63110,63114,63115,63116,63122,63123,63124,63144,63145,63156,63157,63158,63182,63183,63203,63204,63205,63214,63215,63216"
179,36606,"62962,62963,62964,62965,62968,62974,62975,62977,62978,62979,63020,63021,63043,63071,63072,63097,63099,63108,63109,63110,63122,63123,63124,63144,63145,63156,63157,63158,63168,63170,63171,63203,63204,63205,63216"
180,36628,"62946,62988,62989,62990,63036,63037,63038,63044,63045,63046,63047,63048,63050,63071,63072,63079,63080,63081,63082,63083"
